time,s1.x,s1.y,s2.x,s2.y,scom.x,scom.y,v1.x,v1.y,v2.x,v2.y,vcom.x,vcom.y,p1.x,p1.y,p2.x,p2.y,p.x,p.y,w1,w2,L1,L2,L,E1,E2,E
0.048000,0.048010,0.010000,0.403980,0.000000,0.226000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.049000,0.049010,0.010000,0.401980,0.000000,0.225500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.050000,0.050010,0.010000,0.399980,0.000000,0.225000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.051000,0.051010,0.010000,0.397980,0.000000,0.224500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.052000,0.052010,0.010000,0.395980,0.000000,0.224000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.053000,0.053010,0.010000,0.393980,0.000000,0.223500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.054000,0.054010,0.010000,0.391980,0.000000,0.223000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.055000,0.055010,0.010000,0.389980,0.000000,0.222500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.056000,0.056010,0.010000,0.387980,0.000000,0.222000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.057000,0.057010,0.010000,0.385980,0.000000,0.221500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
